1439.3546203967123	1440.7397162542122	cham2	
1441.7274748027226	1443.2493529086457	cham2	
1443.5073400277229	1445.142476509541	cham1	
1444.840549361965	1446.4890505648816	cham2	
1446.8277786521282	1448.4526556921282	cham1	
1450.3989813209364	1452.0998901969365	cham1	
1451.9030468695	1453.4418480275667	cham2	
1453.9562727618652	1455.5393838875652	cham1	
1454.8070343314798	1456.3526377152798	cham2	
1457.1373922831483	1458.6600667261482	cham1	
1459.0352400761224	1460.5660292250222	cham2	
1460.8757882169193	1462.5109246987374	cham1	
1462.6361845289773	1464.1669590354059	cham2	
1464.3587657949665	1465.9836428349665	cham1	
1465.9890798347374	1467.4933022057373	cham2	
1468.0956809574993	1469.4807768149992	cham2	
1468.1900411308188	1469.7785216138188	cham1	
1470.3027114286042	1471.8533767499166	cham2	
1471.4176003531427	1473.1389453973093	cham1	
1473.0208436930172	1474.559644851084	cham2	
1475.0863367353527	1476.7367685918528	cham1	
1476.1803820516511	1477.7665076719845	cham2	
1479.1540652127187	1480.6848543616188	cham2	
1479.3355693805704	1480.9186805062704	cham1	
1482.3600673707442	1483.8819454766674	cham2	
1482.6327881544553	1484.2576651944553	cham1	
1485.2704684772293	1486.7746908482293	cham2	
1486.8355810986325	1488.4707175804506	cham1	
1489.2599415804084	1490.798742738475	cham2	
1490.537232407611	1492.089112862511	cham1	
1492.4098609220384	1494.058362124955	cham2	
1494.219493564093	1495.807974047093	cham1	
1496.7032128430164	1498.1235933683972	cham2	
1497.7256909926605	1499.447036036827	cham1	
1499.389049847794	1500.774145705294	cham2	
1501.8123846842363	1503.4628165407364	cham1	
1502.9555486523382	1504.5416742726716	cham2	
1504.7556186775325	1506.2944198355992	cham2	
1505.248922561243	1506.832033686943	cham1	
1508.705041625825	1510.2358161322536	cham2	
1508.70868028877	1510.33355732877	cham1	
1511.9575075832424	1513.4882967321423	cham2	
1512.7489342793049	1514.384070761123	cham1	
1515.4422925376184	1516.9641706435416	cham2	
1515.8603942490274	1517.5613031250275	cham1	
1519.0820290678828	1520.6326943891952	cham2	
1520.1096268942454	1521.6323013372453	cham1	
1522.7371090421113	1524.275910200178	cham2	
1524.5213984931054	1526.1045096188054	cham1	
1526.6633000907084	1528.2089034745084	cham2	
1527.79539741647	1529.42027445647	cham1	
1530.5197954402174	1531.9048912977173	cham2	
1531.7427720049236	1533.3779084867417	cham1	
1534.3530588900308	1535.8838333964593	cham2	
1535.89912524806	1537.42179969106	cham1	
1538.070162841365	1539.5743852123649	cham2	
1539.3356631250667	1540.9241436080667	cham1	
1540.1378019142944	1541.6685910631945	cham2	
1543.0043995072767	1544.7257445514433	cham1	
1543.669050668062	1545.3175518709786	cham2	
1546.6266961884462	1548.2771280449463	cham1	
1547.6417055160503	1549.1635836219734	cham2	
1550.6386205768135	1552.189285898126	cham2	
1551.5297832900499	1553.23069216605	cham1	
1554.890058221152	1556.4288593792187	cham2	
1554.8929629736786	1556.7186222926784	cham1	
1557.9566689810026	1559.5022723648026	cham2	
1558.6545787579696	1560.1772532009695	cham1	
1561.511149634466	1563.015372005466	cham2	
1562.509073944342	1564.14421042616	cham1	
1565.0888621876252	1566.473958045125	cham2	
1566.8744058421614	1568.4992828821614	cham1	
1568.7362704398715	1570.322396060205	cham2	
1570.589581925412	1572.178062408412	cham1	
1570.989764710368	1572.5285658684347	cham2	
1574.258318307622	1575.9796633517885	cham1	
1574.5210134641354	1576.051787970564	cham2	
1578.228912746596	1579.8793446030961	cham1	
1578.5401321115155	1580.0709212604156	cham2	
1582.2459066415474	1584.0715659605473	cham1	
1582.532123406708	1584.1806246096246	cham2	
1584.9289045278713	1586.4507826337945	cham2	
1586.5183993823487	1588.0410738253486	cham1	
1588.6227765795095	1590.1615777375762	cham2	
1590.0478166614366	1591.6362971444366	cham1	
1591.5694881404145	1593.1201534617269	cham2	
1593.8326522962482	1595.4677887780663	cham1	
1594.5701429016442	1596.1157462854442	cham2	
1597.3812027648405	1598.7662986223404	cham2	
1597.780026884702	1599.302701327702	cham1	
1600.2619583271246	1601.7661806981246	cham2	
1601.4719831174323	1603.0604636004323	cham1	
1603.816438980588	1605.3472134870165	cham2	
1604.7227621902764	1606.444107234443	cham1	
1608.1840361234056	1609.7148252723055	cham2	
1608.9952146860144	1610.5783258117144	cham1	
1611.0183278862978	1612.5689932076102	cham2	
1612.5942915166636	1614.2447233731637	cham1	0.0
1616.448786703036	1618.073663743036	cham1	0.0
1616.9889261081282	1618.5108042140514	cham2	0.0
1620.194928266154	1621.7810538864874	cham2	0.0
1620.4426009925303	1622.0777374743484	cham1	0.0
1624.0648976736998	1625.7658065496998	cham1	0.0
1625.329178098934	1626.874781482734	cham2	0.0
1628.3141303189173	1629.8972414446173	cham1	0.0
1629.4876881444893	1631.026489302556	cham2	0.0
1631.239831484477	1632.762505927477	cham1	0.0
1632.7089804377474	1634.2132028087474	cham2	0.0
1635.0246671192886	1636.6131476022886	cham1	0.0
1635.411822566928	1636.796918424428	cham2	0.0
1638.4844248468157	1640.2057698909823	cham1	0.0
1638.7572161231287	1640.2879906295573	cham2	0.0
1642.3157001826678	1643.9661320391679	cham1	0.0
1644.774278144351	1646.3130793024177	cham2	0.0
1646.518493126845	1648.101604252545	cham1	0.0
1648.35199069751	1649.8738688034332	cham2	0.0
1650.4426478647783	1651.9653223077783	cham1	0.0
1652.3478774451944	1653.8786665940943	cham2	0.0
1654.1346040975088	1655.769740579327	cham1	0.0
1655.8791261989618	1657.4247295827618	cham2	0.0
1657.9890992838812	1659.6139763238812	cham1	0.0
