Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID	POST
573	Spectrogram 1	1	3824.667638358	3825.129567411	1474.800	1682.800	A	
586	Spectrogram 1	1	4130.926588745	4131.388517798	1493.700	1739.500	A	
595	Spectrogram 1	1	4269.238798324	4269.718493880	1418.100	1739.500	A	
597	Spectrogram 1	1	4294.094133772	4294.396164307	1512.600	1834.000	A	
609	Spectrogram 1	1	4443.314978064	4443.759140615	1815.100	2193.300	A	
3	Spectrogram 1	1	2275.563670293	2276.096665354	1607.100	1871.800	B	
12	Spectrogram 1	1	2311.398700685	2311.860629738	1569.300	1909.700	B	
19	Spectrogram 1	1	2338.972310945	2339.487539504	1512.600	1909.700	B	
24	Spectrogram 1	1	2358.533228785	2359.066223846	1588.200	1871.800	B	
31	Spectrogram 1	1	2386.089072543	2386.675367110	1569.300	1890.800	B	
37	Spectrogram 1	1	2411.139839513	2411.797200088	1569.300	1909.700	B	
43	Spectrogram 1	1	2435.906342451	2436.332738500	1588.200	1871.800	B	
49	Spectrogram 1	1	2467.281979875	2467.992639957	1588.200	1815.100	B	
56	Spectrogram 1	1	2492.510411866	2492.972340919	1550.400	1890.800	B	
61	Spectrogram 1	1	2512.799756290	2513.243918841	1626.100	1871.800	B	
69	Spectrogram 1	1	2545.383520125	2545.792149672	1550.400	1852.900	B	
76	Spectrogram 1	1	2573.561191454	2574.023120507	1569.300	1852.900	B	
82	Spectrogram 1	1	2598.114495462	2598.594191017	1588.200	1909.700	B	
88	Spectrogram 1	1	2622.507901857	2622.934297906	1569.300	1928.600	B	
93	Spectrogram 1	1	2644.982522665	2645.604350237	1607.100	1852.900	B	
102	Spectrogram 1	1	2680.302327815	2680.906388884	1607.100	1909.700	B	
108	Spectrogram 1	1	2703.398779561	2703.967307626	1588.200	1890.800	B	
134	Spectrogram 1	1	2762.942724152	2763.466313418	1579.300	1883.000	B	
141	Spectrogram 1	1	2790.620742440	2791.144331706	1579.300	1883.000	B	
146	Spectrogram 1	1	2812.470587414	2812.994176680	1579.300	1883.000	B	
156	Spectrogram 1	1	2850.295664420	2850.819253686	1579.300	1883.000	B	
168	Spectrogram 1	1	2899.243032332	2899.766621598	1579.300	1883.000	B	
175	Spectrogram 1	1	2927.756963924	2928.280553190	1579.300	1883.000	B	
182	Spectrogram 1	1	2954.924146304	2955.447735570	1579.300	1883.000	B	
187	Spectrogram 1	1	2976.448913882	2976.972503148	1579.300	1883.000	B	
193	Spectrogram 1	1	2998.275539042	2998.799128308	1579.300	1883.000	B	
200	Spectrogram 1	1	3025.582040306	3026.105629572	1579.300	1883.000	B	
207	Spectrogram 1	1	3052.261606592	3052.785195858	1579.300	1883.000	B	
216	Spectrogram 1	1	3088.252318292	3088.775907558	1579.300	1883.000	B	
221	Spectrogram 1	1	3108.360677216	3108.884266482	1579.300	1883.000	B	
229	Spectrogram 1	1	3140.055723326	3140.579312592	1579.300	1883.000	B	
235	Spectrogram 1	1	3164.575846910	3165.099436176	1579.300	1883.000	B	
240	Spectrogram 1	1	3183.291016994	3183.814606260	1579.300	1883.000	B	
247	Spectrogram 1	1	3209.575846442	3210.099435708	1579.300	1883.000	B	
254	Spectrogram 1	1	3236.487610868	3237.011200134	1579.300	1883.000	B	
260	Spectrogram 1	1	3259.359127658	3259.882716924	1579.300	1883.000	B	
266	Spectrogram 1	1	3283.112997380	3283.636586646	1579.300	1883.000	B	
273	Spectrogram 1	1	3310.047981620	3310.571570886	1579.300	1883.000	B	
281	Spectrogram 1	1	3338.956650050	3339.480239316	1579.300	1883.000	B	
288	Spectrogram 1	1	3366.100612616	3366.624201882	1579.300	1883.000	B	
294	Spectrogram 1	1	3387.671819822	3388.195409088	1579.300	1883.000	B	
302	Spectrogram 1	1	3417.973677092	3418.497266358	1579.300	1883.000	B	
308	Spectrogram 1	1	3441.193491092	3441.717080358	1579.300	1883.000	B	
314	Spectrogram 1	1	3461.975224622	3462.498813888	1579.300	1883.000	B	
321	Spectrogram 1	1	3488.190394628	3488.713983894	1579.300	1883.000	B	
328	Spectrogram 1	1	3513.012375794	3513.535965060	1579.300	1883.000	B	
335	Spectrogram 1	1	3540.202777988	3540.726367254	1579.300	1883.000	B	
344	Spectrogram 1	1	3572.965935542	3573.489524808	1579.300	1883.000	B	
349	Spectrogram 1	1	3591.239929160	3591.763518426	1579.300	1883.000	B	
356	Spectrogram 1	1	3624.351383924	3624.874973190	1579.300	1883.000	B	
362	Spectrogram 1	1	3651.472126676	3651.995715942	1579.300	1883.000	B	
369	Spectrogram 1	1	3680.566553618	3681.090142884	1579.300	1883.000	B	
376	Spectrogram 1	1	3705.365314970	3705.888904236	1579.300	1883.000	B	
383	Spectrogram 1	1	3730.465933904	3730.989523170	1579.300	1883.000	B	
