1606.6749222545911	1608.074984009891	power1
1610.0417966371288	1611.4871481402197	power1
1613.8498476628956	1615.02888306811	power1
1615.518447974726	1616.5987823601877	power2
1616.6826661088928	1618.1369488864382	power1
1618.4933775213797	1619.7462501088796	power2
1620.0263206681027	1621.4115656429028	power1
1620.7236411629528	1622.3575638587147	power2
1623.0681175240509	1624.4584441572508	power1
1623.604398366652	1625.1695040801521	power2
1626.2492333199657	1627.4746632604656	power1
1627.9255341722007	1628.9127603092006	power2
1629.2445905292577	1630.6899420323487	power1
1630.086102074975	1631.503733489248	power2
1632.7810039752098	1633.9993959486098	power2
1632.866882968402	1634.266944723702	power1
1635.0809633555825	1636.6313408719993	power2
1635.9318996476777	1637.2940020298445	power1
1638.0081843851476	1639.2355783730568	power2
1639.205894736904	1640.6601775144493	power1
1640.2152161137883	1641.6868314424246	power2
1642.2012519461962	1643.3802873514105	power1
1642.863654188157	1643.9439885736185	power2
1644.9312944391988	1646.5652171349607	power2
1645.0108505688656	1646.4562020719566	power1
1647.7191239911658	1648.946517979075	power2
1648.2151861881086	1649.6152479434086	power1
1650.0190833715385	1651.1163398442384	power2
1651.5588407473185	1652.811832980955	power1
1652.319042751911	1653.884148465411	power2
1654.5774177799385	1655.9626627547386	power1
1655.3856552590748	1656.3728813960747	power2
1657.5495551659028	1658.9398817991027	power1
1657.6391508135812	1659.189528329998	power2
1660.357284626749	1661.575676600149	power2
1661.3343863683417	1662.5598163088416	power1
1662.4946206165903	1663.912252030863	power2
1664.1904246376669	1665.6447074152122	power1
1665.3986097332224	1666.7082193472224	power2
1667.209001670287	1668.5711040524538	power1
1667.7682648523944	1669.2398801810307	power2
1670.3436778195464	1671.7340044527464	power1
1670.5793263172943	1671.8067203052035	power2
1672.9489814364663	1674.0462379091662	power2
1673.4783539688058	1674.65738937402	power1
1675.341868468571	1676.9757911643328	power2
1676.3576120614584	1677.8029635645494	power1
1678.0367703688057	1679.0239965058056	power2
1679.5155080340455	1680.9155697893455	power1
1680.0811787069147	1681.470414698748	power2
1682.4508338260866	1683.6692257994866	power2
1682.952041886567	1684.2050341202034	power1
1685.401286768585	1686.8189181828577	power2
1685.7384206859087	1687.1236656607089	power1
1688.6641184252173	1690.1184012027627	power1
1688.9093056214765	1690.4596831378933	power2
1691.929454302774	1693.239063916774	power2
1691.9613333377715	1693.1867632782714	power1
1694.4385008995444	1695.9101162281806	power2
1694.7709319604407	1696.2162834635317	power1
1697.0404751480467	1698.2678691359558	power2
1698.207465812962	1699.607527568262	power1
1699.4798260060177	1700.7326985935176	power2
1701.8030172993235	1703.3681230128236	power2
1702.178055602024	1703.5401579841907	power1
1704.521151112491	1705.5083772494909	power2
1705.823567864496	1707.213894497696	power1
1706.8443424057969	1708.4782651015587	power2
1709.0279034837386	1710.206938888953	power1
1710.584680388019	1711.8120743759282	power2
1711.7910624597525	1713.2364139628435	power1
1713.2098865494547	1714.681501878091	power2
1715.2043764889459	1716.4298064294458	power1
1716.3461947954174	1717.5645867688174	power2
1717.7353372316811	1719.1896200092265	power1
1718.5299946111247	1720.0803721275415	power2
1720.7074746176454	1722.0927195924455	power1
1721.8521581605519	1722.9324925460135	power2
1723.7724912969213	1725.0254835305577	power1
1724.2218132797238	1725.6394446939967	power2
1726.5588700962628	1727.9589318515627	power1
1726.8005556152932	1728.3656613287933	power2
1729.7864255388333	1731.148527921	power1
1731.4773809021392	1732.8408971213391	power2
1732.9907611580763	1734.3810877912763	power1
1733.7933614081435	1735.0462339956434	power2
1736.2327122661145	1737.8666349618763	power2
1736.2647562473028	1737.4437916525171	power1
1738.9814755766606	1740.4268270797515	power1
1739.252860947412	1740.240087084412	power2
1741.4366607631193	1742.9082760917556	power2
1742.4876688991656	1743.7130988396657	power1
1744.015403098689	1745.242797086598	power2
1745.2043882285236	1746.658671006069	power1
1746.570913521325	1747.789305494725	power2
1748.2461850844713	1749.6314300592715	power1
1749.1031920310284	1750.6535695474452	power2
1751.2183224704359	1752.6086491036358	power1
1752.0536449735266	1753.4712763877994	power2
1754.376218443023	1755.6292106766593	power1
1754.7253149608284	1756.1145509526618	power2
1757.0847833091054	1758.4848450644054	power1
1757.2343615575983	1758.3146959430599	power2
1759.441393286239	1761.0753159820008	power2
1760.761669858181	1761.987099798681	power1
1762.2524547511389	1763.5053273386388	power2
1763.617708127506	1765.0630596305969	power1
1764.5847353730703	1766.1351128894871	power2
1766.822043746749	1768.1841461289157	power1
1767.4099394222776	1768.6283313956776	power2
1769.6402030638512	1771.1118183924875	power2
1770.0263793659915	1771.4806621435368	power1
1772.2421773123535	1773.4695713002627	power2
1773.3468141018736	1774.525849507088	power1
1774.4724409539272	1776.0375466674273	power2
1776.481490251133	1777.866735225933	power1
1777.1877479739312	1778.174974110931	power2
1779.1652873664048	1780.7156648828216	power2
1780.0109033969657	1781.4109651522656	power1
1782.2551317865011	1783.5647414005011	power2
1783.2616786628641	1784.5146708965005	power1
1784.6480188186063	1786.065650232879	power2
1786.4427944587792	1787.8881459618701	power1
1787.0873696765773	1788.6524753900774	power2
1789.6006904313663	1790.8261203718662	power1
1789.6661120121466	1790.9189845996466	power2
1792.3145500865153	1793.864927602932	power2
1792.3870692307078	1793.8413520082531	power1
1795.2882349419467	1796.2754610789466	power2
1795.5681850266228	1796.953430001423	power1
1797.541730496453	1799.0133458250893	power2
1798.7028611758822	1800.093187809082	power1
1800.3295600484198	1801.5479520218198	power2
1802.0000760884363	1803.1791114936507	power1
1802.652751341726	1804.2866740374877	power2
1804.9489936510727	1806.3943451541636	power1
