BirdID,RecA Time,RecA End,nsk
frye3,1172.794944714552,1174.451413433706,1
frye3,1506.6860160957926,1508.6736436917927,1
frye3,1511.804158539293,1513.0945898624598,1
frye3,1516.4713401816746,1518.0959381717746,1
frye3,1519.9310917474202,1521.3958538358368,1
frye3,1524.5286139623038,1526.1850826814577,1
frye3,1528.7057648457005,1530.352446169034,1
frye3,1532.934184880424,1534.6093677287574,1
frye3,1538.5069390802828,1540.481813452192,1
frye3,1543.684956524318,1544.9753878474849,1
frye3,1547.5626646550534,1549.2156029936534,1
frye1,1551.026634414393,1552.801131901993,1
frye3,1551.2081746941276,1552.6729367825442,1
frye3,1555.6220080212518,1557.051153749835,1
frye1,1555.97365445333,1557.4567912914838,1
frye3,1559.636965421414,1561.293434140568,1
frye1,1559.7604334237217,1561.4573555343218,1
frye1,1564.0815431690762,1565.7954926481596,1
frye3,1564.2809272546294,1565.9561101029628,1
frye3,1568.4671863221301,1569.84774484163,1
frye1,1568.936983689394,1570.5783153477942,1
frye1,1572.5146767043652,1574.2891741919652,1
frye3,1572.9265774057699,1574.901451777679,1
frye1,1577.04487240514,1578.7719976144733,1
frye3,1579.9542984417321,1581.244729764899,1
frye1,1582.4114119275966,1584.12536140668,1
frye3,1585.201975313266,1586.85844403242,1
frye1,1587.0809982653186,1588.7066264059185,1
frye3,1589.4744201998244,1591.1496030481578,1
frye1,1591.1697902824285,1592.8621764537363,1
frye3,1593.7468650863827,1595.3998034249828,1
frye1,1595.1656552082404,1596.9401526958404,1
frye3,1598.1818486371037,1599.6466107255203,1
frye1,1600.1837181383296,1601.8250497967297,1
frye3,1602.3834307494144,1603.812576477998,1
frye1,1603.7846429261251,1605.4985924052085,1
frye3,1605.7979460435772,1607.4544147627312,1
frye1,1608.3380703997243,1610.1125678873243,1
frye3,1610.9063040601143,1612.5814869084477,1
frye1,1612.8450343276752,1614.4706624682751,1
frye3,1616.0458670681553,1617.6704650582553,1
frye1,1616.2601049328748,1617.987230142208,1
frye3,1619.706611734058,1621.1713738224746,1
frye1,1620.697373542352,1622.4113230214352,1
frye3,1624.0052583251618,1625.651939648495,1
frye1,1624.995251514882,1626.7189267092456,1
frye3,1628.4604797896695,1629.7509111128363,1
frye1,1629.4325201243591,1631.2070176119591,1
frye3,1632.2685284929064,1633.9214668315065,1
frye1,1634.4505830544483,1636.1475051650484,1
frye3,1637.0458672013553,1638.7210500496888,1
frye1,1639.1201693921705,1640.8341188712538,1
